"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","82001",0,0,0,0
"2","82009",1,1,1,0
"3","82070",0,0,0,0
"4","82072",0,0,0,0
"5","82073",0,0,0,0
"6","82217",0,0,0,0
"7","82225",0,0,0,0
"8","82412",0,0,0,0
"9","82414",0,0,0,0
"10","82435",0,0,0,0
"11","82501",0,0,0,0
"12","82520",1,0,0,0
"13","82601",1,1,0,0
"14","82604",1,0,0,0
"15","82605",0,0,0,0
"16","82609",0,0,0,0
"17","82701",0,0,0,0
"18","82716",0,0,0,0
"19","82718",0,0,0,0
"20","82732",1,1,0,0
"21","82801",1,0,0,0
"22","82833",0,0,0,0
"23","82834",0,0,0,0
"24","82839",0,0,0,0
"25","82901",0,0,0,0
"26","82930",2,0,0,0
"27","82935",1,0,0,0
"28","82939",0,0,0,0
"29","83001",0,0,0,0
"30","83002",1,1,1,1
"31","83012",0,0,0,0
"32","83101",0,0,0,0
"33","83110",0,0,0,0
"34","83113",1,0,0,0
"35","83114",0,0,0,0
"36","83414",0,0,0,0
